    (187.716888936524668,0.000000000000000)  (-92.482187843404631,-152.351418731801118)   (193.467256686667952,235.758355487497113)   (-86.264253364668264,-71.503844319793686)    (-162.798969395264209,2.510410027515325)  (-124.793577745198206,266.475230183723852)  (204.774215062477282,-138.684399187546290)
  (-92.482187843404631,152.351418731801118)     (-62.720653487979604,0.000000000000000)    (117.469125080681877,19.879845944126455)   (-28.675587766511590,-44.565709406813554)    (-49.800614064121916,42.298867491129258)     (7.704934901364719,109.926536295765658)    (-8.661420275940504,-31.626339045564105)
 (193.467256686667952,-235.758355487497113)   (117.469125080681877,-19.879845944126455)    (-401.950865858903626,0.000000000000000)  (-107.638485698025590,-74.988082417009863)   (-89.098577672244716,246.111616322851603)    (-71.610463156276239,19.353306174477101)  (-401.237887759591445,176.541979901892347)
   (-86.264253364668264,71.503844319793686)    (-28.675587766511590,44.565709406813554)   (-107.638485698025590,74.988082417009863)      (86.961157584564987,0.000000000000000)  (132.644708626099828,-225.627615015042494)   (-40.768398544639780,-98.284393467180422)    (-6.767927437981268,107.205489048531689)
  (-162.798969395264209,-2.510410027515325)   (-49.800614064121916,-42.298867491129258)  (-89.098577672244716,-246.111616322851603)   (132.644708626099828,225.627615015042494)     (102.406431001674633,0.000000000000000)   (131.584909679186012,-97.859075169206108)   (202.366079707073283,324.071721823844996)
(-124.793577745198206,-266.475230183723852)    (7.704934901364719,-109.926536295765658)   (-71.610463156276239,-19.353306174477101)    (-40.768398544639780,98.284393467180422)    (131.584909679186012,97.859075169206108)     (137.336269349504306,0.000000000000000)     (0.071344061464712,305.538664343879987)
  (204.774215062477282,138.684399187546290)     (-8.661420275940504,31.626339045564105) (-401.237887759591445,-176.541979901892347)   (-6.767927437981268,-107.205489048531689)  (202.366079707073283,-324.071721823844996)    (0.071344061464712,-305.538664343879987)     (-49.749227525385372,0.000000000000000)
   (-148.509870525568857,0.000000000000000) (-203.818264455198289,-115.398585530310399)   (207.391718781802894,110.311031300389601)   (-126.055387292516471,-8.717032126607858)  (-479.653800007062785,-26.627246724130195)    (-127.063791356093375,9.150271004247452)  (181.995128234559985,-155.777718460986847)
 (-203.818264455198289,115.398585530310399)     (-15.602633854008038,0.000000000000000)    (57.193606973163313,164.769702503950413)      (-8.689060276483165,0.561167480016039)   (153.004868400958742,-86.645519959007032)   (-40.363575988856219,-77.290947301063639)   (177.911453783163864,145.124325321040914)
 (207.391718781802894,-110.311031300389601)   (57.193606973163313,-164.769702503950413)     (218.784076815665060,0.000000000000000)   (-153.818302489350089,34.729328149467065)     (50.917400277748975,17.304026212414449)     (5.950637603943864,-50.208463501657285)  (-189.397083209622110,456.980238531661428)
