 (-2.207633494883258,0.000000000000000)  (5.640660164647064,-5.529601762031045)   (1.904813384236740,4.027205256635944)  (9.415386394400729,10.593810131085469) (-1.015784540477851,-5.673116444805845) (3.578231609576445,-10.712122411892262)  (5.547586649297857,-3.916369108671754)
  (5.640660164647064,5.529601762031045)  (-0.502065885625079,0.000000000000000) (0.133003331380306,-10.096551959264893) (-1.528534750171014,-0.265299496417828) (-4.103837375703382,-0.278574150900598)   (2.372171263975184,9.954669454069899) (1.475756491740820,-12.005164883194466)
 (1.904813384236740,-4.027205256635944)  (0.133003331380306,10.096551959264893)  (19.129103628700847,0.000000000000000)  (3.542262302078719,-1.829780441086022)  (-9.177616314855181,9.899493113849502)  (-2.029650358184840,7.259498061760068)   (3.135044148634049,4.411206802962933)
(9.415386394400729,-10.593810131085469)  (-1.528534750171014,0.265299496417828)   (3.542262302078719,1.829780441086022)  (-6.167619996740904,0.000000000000000) (-5.409940199542085,-2.977041362385476)  (-2.195862728888237,9.366838661600914)   (0.416178376088834,8.843603674408845)
 (-1.015784540477851,5.673116444805845)  (-4.103837375703382,0.278574150900598) (-9.177616314855181,-9.899493113849502)  (-5.409940199542085,2.977041362385476) (-11.249068987963462,0.000000000000000) (-1.285670029432495,-1.313878962299131)  (-0.412554194086957,2.719804709565177)
 (3.578231609576445,10.712122411892262)  (2.372171263975184,-9.954669454069899) (-2.029650358184840,-7.259498061760068) (-2.195862728888237,-9.366838661600914)  (-1.285670029432495,1.313878962299131)   (3.720433007492414,0.000000000000000) (-1.549874358451918,-1.548978477340168)
  (5.547586649297857,3.916369108671754)  (1.475756491740820,12.005164883194466)  (3.135044148634049,-4.411206802962933)  (0.416178376088834,-8.843603674408845) (-0.412554194086957,-2.719804709565177)  (-1.549874358451918,1.548978477340168)  (-2.723148270980615,0.000000000000000)
  (-8.107183104052082,0.000000000000000)   (-5.343360909399421,1.752990728592003)    (4.932116343237944,5.956282351929218)    (8.513509999190411,9.268834469402710)   (-0.026311072443347,5.969389014247295)   (1.690950373722164,-5.311007824225576)    (8.833204780157985,2.304683875854419)
 (-5.343360909399421,-1.752990728592003)   (-7.287619071636781,0.000000000000000)    (7.570431447128932,0.917623213412019)    (1.828531129063652,4.866421581646602)   (6.011584551694592,-0.102398564972829)    (0.365147905188085,0.255765381012218)   (3.804105627375491,-5.332421478197584)
  (4.932116343237944,-5.956282351929218)   (7.570431447128932,-0.917623213412019)   (26.633430901466912,0.000000000000000)   (-1.032620290086250,3.054203753739131)   (0.953755581068536,-3.416874025074990)  (-10.384420460783604,8.010537573062969)  (-12.135166953443553,2.993216182707866)
  (8.513509999190411,-9.268834469402710)   (1.828531129063652,-4.866421581646602)  (-1.032620290086250,-3.054203753739131)   (-1.483374695685178,0.000000000000000)    (4.365937929468364,0.213505028149858)    (3.458170368590987,5.182467378013899)   (-5.003526243079019,3.438982574620011)
 (-0.026311072443347,-5.969389014247295)    (6.011584551694592,0.102398564972829)    (0.953755581068536,3.416874025074990)   (4.365937929468364,-0.213505028149858)   (-4.663406043415681,0.000000000000000)    (2.886385373735963,2.432214816057612)  (-3.149508828881901,-8.851726042407464)
   (1.690950373722164,5.311007824225576)   (0.365147905188085,-0.255765381012218) (-10.384420460783604,-8.010537573062969)   (3.458170368590987,-5.182467378013899)   (2.886385373735963,-2.432214816057612)    (2.101757185267202,0.000000000000000)   (4.550037052654971,-2.325118223136151)
  (8.833204780157985,-2.304683875854419)    (3.804105627375491,5.332421478197584) (-12.135166953443553,-2.993216182707866)  (-5.003526243079019,-3.438982574620011)   (-3.149508828881901,8.851726042407464)    (4.550037052654971,2.325118223136151)   (-7.193605171944560,0.000000000000000)
(-10.001247739028811,0.000000000000000)   (4.129893924774151,9.603085592979856)  (1.676041243630067,-8.253738911313706)  (4.133783646249311,-2.336736008718171) (-3.595990145828489,-4.371864604140435)  (-3.018377623914809,5.880223560061953)  (-2.118488203487095,5.754940129913197)
 (4.129893924774151,-9.603085592979856)   (1.290233838393848,0.000000000000000)  (-4.580896102998800,3.160754275872925)  (-0.669270051232415,0.109413902462975)   (5.936297139474699,1.168798339691938) (-9.412865489537317,-1.459639202433367)   (0.375013035054678,0.066827091837076)
  (1.676041243630067,8.253738911313706) (-4.580896102998800,-3.160754275872925)  (-8.672339880780644,0.000000000000000)  (1.438427795132323,-7.428042613242232)  (9.459925388118592,-6.180680519712224)   (4.074285012717536,2.797335852597418)  (11.552233157748470,1.321980533354821)
  (4.133783646249311,2.336736008718171) (-0.669270051232415,-0.109413902462975)   (1.438427795132323,7.428042613242232)   (6.620579432751386,0.000000000000000)   (5.296749482136509,3.427767065154159)  (-2.753615795187125,2.537400488266595)  (-3.230617670660837,9.494897718942958)
